"","variable_codename_use","variable_description_use","harmonized_categories","harmonized_categories_description","in_dataset","corrected_codename_2day_separate"
"1","DMDBORN4","In what country {were you/was SP} born?","1","Born in 50 US states or Washington, DC","Demographics",NA
"2","DMDBORN4","In what country {were you/was SP} born?","2","Others","Demographics",NA
"3","DMDBORN4","In what country {were you/was SP} born?","77","Refused","Demographics",NA
"4","DMDBORN4","In what country {were you/was SP} born?","99","Don't Know","Demographics",NA
"5","DMDEDUC2","Education level - Adults 20+","1","Less Than 9th Grade","Demographics",NA
"6","DMDEDUC2","Education level - Adults 20+","2","9-11th Grade (Includes 12th grade with no diploma)","Demographics",NA
"7","DMDEDUC2","Education level - Adults 20+","3","High School Grad/GED or Equivalent","Demographics",NA
"8","DMDEDUC2","Education level - Adults 20+","4","Some College or AA degree","Demographics",NA
"9","DMDEDUC2","Education level - Adults 20+","5","College Graduate or above","Demographics",NA
"10","DMDEDUC2","Education level - Adults 20+","7","Refused","Demographics",NA
"11","DMDEDUC2","Education level - Adults 20+","9","Don't know","Demographics",NA
"12","DMDEDUC3","Education level - Children/Youth 6-19","0","Never Attended / Kindergarten Only","Demographics",NA
"13","DMDEDUC3","Education level - Children/Youth 6-19","1","1st Grade","Demographics",NA
"14","DMDEDUC3","Education level - Children/Youth 6-19","2","2nd Grade","Demographics",NA
"15","DMDEDUC3","Education level - Children/Youth 6-19","3","3rd Grade","Demographics",NA
"16","DMDEDUC3","Education level - Children/Youth 6-19","4","4th Grade","Demographics",NA
"17","DMDEDUC3","Education level - Children/Youth 6-19","5","5th Grade","Demographics",NA
"18","DMDEDUC3","Education level - Children/Youth 6-19","6","6th Grade","Demographics",NA
"19","DMDEDUC3","Education level - Children/Youth 6-19","7","7th Grade","Demographics",NA
"20","DMDEDUC3","Education level - Children/Youth 6-19","8","8th Grade","Demographics",NA
"21","DMDEDUC3","Education level - Children/Youth 6-19","9","9th Grade","Demographics",NA
"22","DMDEDUC3","Education level - Children/Youth 6-19","10","10th Grade","Demographics",NA
"23","DMDEDUC3","Education level - Children/Youth 6-19","11","11th Grade","Demographics",NA
"24","DMDEDUC3","Education level - Children/Youth 6-19","12","12th Grade, No Diploma","Demographics",NA
"25","DMDEDUC3","Education level - Children/Youth 6-19","13","High School Graduate","Demographics",NA
"26","DMDEDUC3","Education level - Children/Youth 6-19","14","GED or Equivalent","Demographics",NA
"27","DMDEDUC3","Education level - Children/Youth 6-19","15","More than high school","Demographics",NA
"28","DMDEDUC3","Education level - Children/Youth 6-19","55","Less Than 5th Grade","Demographics",NA
"29","DMDEDUC3","Education level - Children/Youth 6-19","66","Less Than 9th Grade","Demographics",NA
"30","DMDEDUC3","Education level - Children/Youth 6-19","77","Refused","Demographics",NA
"31","DMDEDUC3","Education level - Children/Youth 6-19","99","Don't know","Demographics",NA
"32","DMDFMSIZ","Total number of people in the Family","1","1","Demographics",NA
"33","DMDFMSIZ","Total number of people in the Family","2","2","Demographics",NA
"34","DMDFMSIZ","Total number of people in the Family","3","3","Demographics",NA
"35","DMDFMSIZ","Total number of people in the Family","4","4","Demographics",NA
"36","DMDFMSIZ","Total number of people in the Family","5","5","Demographics",NA
"37","DMDFMSIZ","Total number of people in the Family","6","6","Demographics",NA
"38","DMDFMSIZ","Total number of people in the Family","7","7 or more people in the Family","Demographics",NA
"39","DMDHHSIZ","Total number of people in the Household","1","1","Demographics",NA
"40","DMDHHSIZ","Total number of people in the Household","2","2","Demographics",NA
"41","DMDHHSIZ","Total number of people in the Household","3","3","Demographics",NA
"42","DMDHHSIZ","Total number of people in the Household","4","4","Demographics",NA
"43","DMDHHSIZ","Total number of people in the Household","5","5","Demographics",NA
"44","DMDHHSIZ","Total number of people in the Household","6","6","Demographics",NA
"45","DMDHHSIZ","Total number of people in the Household","7","7 or more people in the Household","Demographics",NA
"46","DMDHRAGE","Age in years of the household reference person at the time of HH screening.","1","<20 years","Demographics",NA
"47","DMDHRAGE","Age in years of the household reference person at the time of HH screening.","2","20-39 years","Demographics",NA
"48","DMDHRAGE","Age in years of the household reference person at the time of HH screening.","3","40-59 years","Demographics",NA
"49","DMDHRAGE","Age in years of the household reference person at the time of HH screening.","4","60+ years","Demographics",NA
"50","DMDYRSUS","Length of time the participant has been in the US.","1","Less than 1 year","Demographics",NA
"51","DMDYRSUS","Length of time the participant has been in the US.","2","1 yr., less than 5 yrs.","Demographics",NA
"52","DMDYRSUS","Length of time the participant has been in the US.","3","5 yrs., less than 10 yrs.","Demographics",NA
"53","DMDYRSUS","Length of time the participant has been in the US.","4","10 yrs., less than 15 yrs.","Demographics",NA
"54","DMDHRBR4","HH reference person's country of birth","1","Born in 50 US states or Washington, DC","Demographics",NA
"55","DMDHRBR4","HH reference person's country of birth","2","Others","Demographics",NA
"56","DMDHRBR4","HH reference person's country of birth","77","Refused","Demographics",NA
"57","DMDHRBR4","HH reference person's country of birth","99","Don't Know","Demographics",NA
"58","DMDHREDU","HH reference person's education level","1","Less than high school degree","Demographics",NA
"59","DMDHREDU","HH reference person's education level","2","High school grad/GED or some college/AA degree","Demographics",NA
"60","DMDHREDU","HH reference person's education level","3","College graduate or above","Demographics",NA
"61","DMDHREDU","HH reference person's education level","7","Refused","Demographics",NA
"62","DMDHREDU","HH reference person's education level","9","Don't know","Demographics",NA
"63","DMDHREDU","HH reference person's education level","9","Don't Know","Demographics",NA
"64","DMDHREDU","HH reference person's education level","3","High school grad/GED or some college/AA degree","Demographics",NA
"65","DMDHRGND","Gender of the household reference person","1","Male","Demographics",NA
"66","DMDHRGND","Gender of the household reference person","2","Female","Demographics",NA
"67","DMDHRMAR","Marital Status of household reference person","1","Married/Living with partner","Demographics",NA
"68","DMDHRMAR","Marital Status of household reference person","2","Widowed/Divorced/Separated","Demographics",NA
"69","DMDHRMAR","Marital Status of household reference person","3","Never Married","Demographics",NA
"70","DMDHRMAR","Marital Status of household reference person","77","Refused","Demographics",NA
"71","DMDHRMAR","Marital Status of household reference person","99","Don't Know","Demographics",NA
"72","DMDHSEDU","HH reference person's spouse's education level","1","Less than high school degree","Demographics",NA
"73","DMDHSEDU","HH reference person's spouse's education level","2","High school grad/GED or some college/AA degree","Demographics",NA
"74","DMDHSEDU","HH reference person's spouse's education level","3","College graduate or above","Demographics",NA
"75","DMDHSEDU","HH reference person's spouse's education level","7","Refused","Demographics",NA
"76","DMDHSEDU","HH reference person's spouse's education level","9","Don't Know","Demographics",NA
"77","DMDMARTL","Marital status","1","Married","Demographics",NA
"78","DMDMARTL","Marital status","2","Widowed","Demographics",NA
"79","DMDMARTL","Marital status","3","Divorced","Demographics",NA
"80","DMDMARTL","Marital status","4","Separated","Demographics",NA
"81","DMDMARTL","Marital status","5","Never married","Demographics",NA
"82","DMDMARTL","Marital status","6","Living with partner","Demographics",NA
"83","DMDMARTL","Marital status","77","Refused","Demographics",NA
"84","DMDMARTL","Marital status","99","Don't know","Demographics",NA
"85","DMDYRSUS","Length of time the participant has been in the US.","5","15 yrs., less than 20 yrs.","Demographics",NA
"86","DMDYRSUS","Length of time the participant has been in the US.","6","20 yrs., less than 30 yrs.","Demographics",NA
"87","DMDYRSUS","Length of time the participant has been in the US.","7","30 yrs., less than 40 yrs.","Demographics",NA
"88","DMDYRSUS","Length of time the participant has been in the US.","8","40 yrs., less than 50 yrs.","Demographics",NA
"89","DMDYRSUS","Length of time the participant has been in the US.","9","50 years or more","Demographics",NA
"90","DMDYRSUS","Length of time the participant has been in the US.","77","Refused","Demographics",NA
"91","DMDYRSUS","Length of time the participant has been in the US.","99","Don't know","Demographics",NA
"92","FIALANG","Language of the Family Interview Instrument","1","English","Demographics",NA
"93","FIALANG","Language of the Family Interview Instrument","2","Spanish","Demographics",NA
"94","FIALANG","Language of the Family Interview Instrument","3","Other","Demographics",NA
"95","INDFMIN2","Total family income (reported as a range value in dollars)","1","$ 0 to $ 4,999","Demographics",NA
"96","INDFMIN2","Total family income (reported as a range value in dollars)","2","$ 5,000 to $ 9,999","Demographics",NA
"97","INDFMIN2","Total family income (reported as a range value in dollars)","3","$10,000 to $14,999","Demographics",NA
"98","INDFMIN2","Total family income (reported as a range value in dollars)","4","$15,000 to $19,999","Demographics",NA
"99","INDFMIN2","Total family income (reported as a range value in dollars)","5","$20,000 to $24,999","Demographics",NA
"100","INDFMIN2","Total family income (reported as a range value in dollars)","6","$25,000 to $34,999","Demographics",NA
"101","INDFMIN2","Total family income (reported as a range value in dollars)","7","$35,000 to $44,999","Demographics",NA
"102","INDFMIN2","Total family income (reported as a range value in dollars)","8","$45,000 to $54,999","Demographics",NA
"103","INDFMIN2","Total family income (reported as a range value in dollars)","16","$50,000 and over","Demographics",NA
"104","INDFMIN2","Total family income (reported as a range value in dollars)","99","Don't know","Demographics",NA
"105","INDFMIN2","Total family income (reported as a range value in dollars)","9","$55,000 to $64,999","Demographics",NA
"106","INDFMIN2","Total family income (reported as a range value in dollars)","10","$65,000 to $74,999","Demographics",NA
"107","INDFMIN2","Total family income (reported as a range value in dollars)","12","$20,000 and Over","Demographics",NA
"108","INDFMIN2","Total family income (reported as a range value in dollars)","13","Under $20,000","Demographics",NA
"109","INDFMIN2","Total family income (reported as a range value in dollars)","14","$75,000 to $99,999","Demographics",NA
"110","INDFMIN2","Total family income (reported as a range value in dollars)","15","$100,000 and Over","Demographics",NA
"111","INDFMIN2","Total family income (reported as a range value in dollars)","77","Refused","Demographics",NA
"112","INDFMIN2","Total family income (reported as a range value in dollars)","11","$75,000 and Over","Demographics",NA
"113","RIDRETH1","Recode of reported race and Hispanic origin information","1","Mexican American","Demographics",NA
"114","RIDRETH1","Recode of reported race and Hispanic origin information","3","Non-Hispanic White","Demographics",NA
"115","RIDRETH1","Recode of reported race and Hispanic origin information","4","Non-Hispanic Black","Demographics",NA
"116","RIDRETH1","Recode of reported race and Hispanic origin information","5","Other Race - Including Multi-Racial","Demographics",NA
"117","RIDRETH1","Recode of reported race and Hispanic origin information","2","Other Hispanic","Demographics",NA
"118","RIDSTATR","Interview and Examination Status of the Sample Person.","1","Interviewed Only","Demographics",NA
"119","RIDSTATR","Interview and Examination Status of the Sample Person.","2","Both Interviewed and MEC examined","Demographics",NA
"120","MCD180B","Age when told you had congestive heart failure","16","16 years or younger","Questionnaire",NA
"121","MCD180B","Age when told you had congestive heart failure","17-79","17-79 years old","Questionnaire",NA
"122","MCD180B","Age when told you had congestive heart failure","17-84","17-84 years old","Questionnaire",NA
"123","MCD180B","Age when told you had congestive heart failure","17-89","17-89 years old","Questionnaire",NA
"124","MCD180B","Age when told you had congestive heart failure","18-79","18-79 years old","Questionnaire",NA
"125","MCD180B","Age when told you had congestive heart failure","80","80 years or older","Questionnaire",NA
"126","MCD180B","Age when told you had congestive heart failure","85","85 years or older","Questionnaire",NA
"127","MCD180B","Age when told you had congestive heart failure","90","90 + years","Questionnaire",NA
"128","MCD180B","Age when told you had congestive heart failure","99999","Don't know","Questionnaire",NA
"129","MCD180B","Age when told you had congestive heart failure","77777","Refused","Questionnaire",NA
"130","MCD180C","Age when told had coronary heart disease","16","16 years or younger","Questionnaire",NA
"131","MCD180C","Age when told had coronary heart disease","17-79","17-79 years old","Questionnaire",NA
"132","MCD180C","Age when told had coronary heart disease","17-84","17-84 years old","Questionnaire",NA
"133","MCD180C","Age when told had coronary heart disease","20-79","20-79 years old","Questionnaire",NA
"134","MCD180C","Age when told had coronary heart disease","80","80 years or older","Questionnaire",NA
"135","MCD180C","Age when told had coronary heart disease","85","85 years or older","Questionnaire",NA
"136","MCD180C","Age when told had coronary heart disease","99999","Don't know","Questionnaire",NA
"137","MCD180C","Age when told had coronary heart disease","77777","Refused","Questionnaire",NA
"138","MCD180D","Age when told you had angina pectoris","16","16 years or younger","Questionnaire",NA
"139","MCD180D","Age when told you had angina pectoris","17-84","17-84 years old","Questionnaire",NA
"140","MCD180D","Age when told you had angina pectoris","85","85 years or older","Questionnaire",NA
"141","MCD180D","Age when told you had angina pectoris","99999","Don't know","Questionnaire",NA
"142","MCD180D","Age when told you had angina pectoris","77777","Refused","Questionnaire",NA
"143","MCD180D","Age when told you had angina pectoris","17-79","17-79 years old","Questionnaire",NA
"144","MCD180D","Age when told you had angina pectoris","20-79","20-79 years old","Questionnaire",NA
"145","MCD180D","Age when told you had angina pectoris","80","80 years or older","Questionnaire",NA
"146","MCD180E","Age when told you had heart attack","16","16 years or younger","Questionnaire",NA
"147","MCD180E","Age when told you had heart attack","17-79","17-79 years old","Questionnaire",NA
"148","MCD180E","Age when told you had heart attack","17-84","17-84 years old","Questionnaire",NA
"149","MCD180E","Age when told you had heart attack","17-88","17-88 years old","Questionnaire",NA
"150","MCD180E","Age when told you had heart attack","19-79","19-79 years old","Questionnaire",NA
"151","MCD180E","Age when told you had heart attack","80","80 years or older","Questionnaire",NA
"152","MCD180E","Age when told you had heart attack","85","85 years or older","Questionnaire",NA
"153","MCD180E","Age when told you had heart attack","90","90 + years","Questionnaire",NA
"154","MCD180E","Age when told you had heart attack","99999","Don't know","Questionnaire",NA
"155","MCD180E","Age when told you had heart attack","77777","Refused","Questionnaire",NA
"156","MCD180F","Age when told you had a stroke","16","16 years or younger","Questionnaire",NA
"157","MCD180F","Age when told you had a stroke","17-79","17-79 years old","Questionnaire",NA
"158","MCD180F","Age when told you had a stroke","17-84","17-84 years old","Questionnaire",NA
"159","MCD180F","Age when told you had a stroke","17-89","17-89 years old","Questionnaire",NA
"160","MCD180F","Age when told you had a stroke","80","80 years or older","Questionnaire",NA
"161","MCD180F","Age when told you had a stroke","85","85 years or older","Questionnaire",NA
"162","MCD180F","Age when told you had a stroke","90","90 + years","Questionnaire",NA
"163","MCD180F","Age when told you had a stroke","99999","Don't know","Questionnaire",NA
"164","MCD180F","Age when told you had a stroke","77777","Refused","Questionnaire",NA
"165","MCD180G","Age when told you had emphysema","16","16 years or younger","Questionnaire",NA
"166","MCD180G","Age when told you had emphysema","17-79","17-79 years old","Questionnaire",NA
"167","MCD180G","Age when told you had emphysema","17-84","17-84 years old","Questionnaire",NA
"168","MCD180G","Age when told you had emphysema","17-89","17-89 years old","Questionnaire",NA
"169","MCD180G","Age when told you had emphysema","80","80 years or older","Questionnaire",NA
"170","MCD180G","Age when told you had emphysema","85","85 years or older","Questionnaire",NA
"171","MCD180G","Age when told you had emphysema","90","90 + years","Questionnaire",NA
"172","MCD180G","Age when told you had emphysema","99999","Don't know","Questionnaire",NA
"173","MCD180G","Age when told you had emphysema","77777","Refused","Questionnaire",NA
"174","MCD180K","Age when told you had chronic bronchitis","16","16 years or younger","Questionnaire",NA
"175","MCD180K","Age when told you had chronic bronchitis","17-79","17-79 years old","Questionnaire",NA
"176","MCD180K","Age when told you had chronic bronchitis","17-83","17-83 years old","Questionnaire",NA
"177","MCD180K","Age when told you had chronic bronchitis","17-89","17-89 years old","Questionnaire",NA
"178","MCD180K","Age when told you had chronic bronchitis","80","80 years or older","Questionnaire",NA
"179","MCD180K","Age when told you had chronic bronchitis","85","85 years or older","Questionnaire",NA
"180","MCD180K","Age when told you had chronic bronchitis","90","90 + years","Questionnaire",NA
"181","MCD180K","Age when told you had chronic bronchitis","99999","Don't know","Questionnaire",NA
"182","MCD180K","Age when told you had chronic bronchitis","77777","Refused","Questionnaire",NA
"183","MCD180L","Age when told you had a liver condition","16","16 years or younger","Questionnaire",NA
"184","MCD180L","Age when told you had a liver condition","17-78","17-78 years old","Questionnaire",NA
"185","MCD180L","Age when told you had a liver condition","17-79","17-79 years old","Questionnaire",NA
"186","MCD180L","Age when told you had a liver condition","17-83","17-83 years old","Questionnaire",NA
"187","MCD180L","Age when told you had a liver condition","80","80 years or older","Questionnaire",NA
"188","MCD180L","Age when told you had a liver condition","85","85 years or older","Questionnaire",NA
"189","MCD180L","Age when told you had a liver condition","99999","Don't know","Questionnaire",NA
"190","MCD180L","Age when told you had a liver condition","77777","Refused","Questionnaire",NA
"191","MCQ180H","Age when told you had a goiter","16","16 years or younger","Questionnaire",NA
"192","MCQ180H","Age when told you had a goiter","17-84","17-84 years old","Questionnaire",NA
"193","MCQ180H","Age when told you had a goiter","90","90 + years","Questionnaire",NA
"194","MCQ180H","Age when told you had a goiter","99999","Don't know","Questionnaire",NA
"195","MCD180M","Age when told you had thyroid problem","17-89","17-89 years old","Questionnaire",NA
"196","MCD180M","Age when told you had thyroid problem","16","16 years or younger","Questionnaire",NA
"197","MCD180M","Age when told you had thyroid problem","99999","Don't know","Questionnaire",NA
"198","MCD180M","Age when told you had thyroid problem","17-84","17-84 years old","Questionnaire",NA
"199","MCD180M","Age when told you had thyroid problem","80","80 years or older","Questionnaire",NA
"200","MCD180M","Age when told you had thyroid problem","85","85 years or older","Questionnaire",NA
"201","MCD180M","Age when told you had thyroid problem","77777","Refused","Questionnaire",NA
"202","MCD180M","Age when told you had thyroid problem","17-79","17-79 years old","Questionnaire",NA
"203","MCD180N","Age when told you had gout","16","16 years or younger","Questionnaire",NA
"204","MCD180N","Age when told you had gout","17-79","17-79 years old","Questionnaire",NA
"205","MCD180N","Age when told you had gout","17-86","17-86 years old","Questionnaire",NA
"206","MCD180N","Age when told you had gout","80","80 years or older","Questionnaire",NA
"207","MCD180N","Age when told you had gout","99999","Don't know","Questionnaire",NA
"208","MCD180N","Age when told you had gout","77777","Refused","Questionnaire",NA
"209","MCQ025","Age when first had asthma","1-19","1-19 years old","Questionnaire",NA
"210","MCQ025","Age when first had asthma","1-79","1-79 years old","Questionnaire",NA
"211","MCQ025","Age when first had asthma","1-84","1-84 years old","Questionnaire",NA
"212","MCQ025","Age when first had asthma","1-88","1-88 years old","Questionnaire",NA
"213","MCQ025","Age when first had asthma","80","80 years or older","Questionnaire",NA
"214","MCQ025","Age when first had asthma","85","85 years or older","Questionnaire",NA
"215","MCQ025","Age when first had asthma","99999","Don't know","Questionnaire",NA
"216","MCQ025","Age when first had asthma","1","Less than 1 year","Questionnaire",NA
"217","MCQ025","Age when first had asthma","77777","Refused","Questionnaire",NA
"218","MCD180A","Age when told you had arthritis","16","16 years or younger","Questionnaire",NA
"219","MCD180A","Age when told you had arthritis","17-89","17-89 years old","Questionnaire",NA
"220","MCD180A","Age when told you had arthritis","90","90 + years","Questionnaire",NA
"221","MCD180A","Age when told you had arthritis","99999","Don't know","Questionnaire",NA
"222","MCD180A","Age when told you had arthritis","17-79","17-79 years old","Questionnaire",NA
"223","MCD180A","Age when told you had arthritis","80","80 years or older","Questionnaire",NA
"224","MCD180A","Age when told you had arthritis","77777","Refused","Questionnaire",NA
"225","MCD180A","Age when told you had arthritis","17-84","17-84 years old","Questionnaire",NA
"226","MCD180A","Age when told you had arthritis","85","85 years or older","Questionnaire",NA
"227","MCQ180H","Age when told you had a goiter","17-72","17-72 years old","Questionnaire",NA
"228","MCQ180H","Age when told you had a goiter","85","85 years or older","Questionnaire",NA
"229","MCQ180H","Age when told you had a goiter","77777","Refused","Questionnaire",NA
"230","MCQ195","Which type of arthritis was it","9","Don't know","Questionnaire",NA
"231","MCQ195","Which type of arthritis was it","2","Osteoarthritis or degenerative arthritis","Questionnaire",NA
"232","MCQ195","Which type of arthritis was it","4","Other","Questionnaire",NA
"233","MCQ195","Which type of arthritis was it","3","Psoriatic arthritis","Questionnaire",NA
"234","MCQ195","Which type of arthritis was it","7","Refused","Questionnaire",NA
"235","MCQ195","Which type of arthritis was it","1","Rheumatoid arthritis","Questionnaire",NA
"236","MCQ240A","Age when bladder cancer first diagnosed","17-78","17-78 years old","Questionnaire",NA
"237","MCQ240A","Age when bladder cancer first diagnosed","17-83","17-83 years old","Questionnaire",NA
"238","MCQ240A","Age when bladder cancer first diagnosed","16","16 years or younger","Questionnaire",NA
"239","MCQ240A","Age when bladder cancer first diagnosed","80","80 years or older","Questionnaire",NA
"240","MCQ240A","Age when bladder cancer first diagnosed","85","85 years or older","Questionnaire",NA
"241","MCQ240A","Age when bladder cancer first diagnosed","99999","Don't know","Questionnaire",NA
"242","MCQ240A","Age when bladder cancer first diagnosed","77777","Refused","Questionnaire",NA
"243","MCQ240B","Age when blood cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"244","MCQ240B","Age when blood cancer was first diagnosed","17-66","17-66 years old","Questionnaire",NA
"245","MCQ240B","Age when blood cancer was first diagnosed","17-70","17-70 years old","Questionnaire",NA
"246","MCQ240B","Age when blood cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"247","MCQ240B","Age when blood cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"248","MCQ240B","Age when blood cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"249","MCQ240B","Age when blood cancer was first diagnosed","77777","Refused","Questionnaire",NA
"250","MCQ240C","Age when bone cancer was first diagnosed","17-77","17-77 years old","Questionnaire",NA
"251","MCQ240C","Age when bone cancer was first diagnosed","17-84","17-84 years old","Questionnaire",NA
"252","MCQ240C","Age when bone cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"253","MCQ240C","Age when bone cancer was first diagnosed","55-76","55-76 years old","Questionnaire",NA
"254","MCQ240C","Age when bone cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"255","MCQ240C","Age when bone cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"256","MCQ240C","Age when bone cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"257","MCQ240C","Age when bone cancer was first diagnosed","77777","Refused","Questionnaire",NA
"258","MCQ240CC","Age when uterine cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"259","MCQ240CC","Age when uterine cancer was first diagnosed","17-77","17-77 years old","Questionnaire",NA
"260","MCQ240CC","Age when uterine cancer was first diagnosed","17-84","17-84 years old","Questionnaire",NA
"261","MCQ240CC","Age when uterine cancer was first diagnosed","20-72","20-72 years old","Questionnaire",NA
"262","MCQ240CC","Age when uterine cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"263","MCQ240CC","Age when uterine cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"264","MCQ240CC","Age when uterine cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"265","MCQ240CC","Age when uterine cancer was first diagnosed","77777","Refused","Questionnaire",NA
"266","MCQ240D","Age when brain cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"267","MCQ240D","Age when brain cancer was first diagnosed","17-73","17-73 years old","Questionnaire",NA
"268","MCQ240D","Age when brain cancer was first diagnosed","17-75","17-75 years old","Questionnaire",NA
"269","MCQ240D","Age when brain cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"270","MCQ240D","Age when brain cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"271","MCQ240D","Age when brain cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"272","MCQ240D","Age when brain cancer was first diagnosed","77777","Refused","Questionnaire",NA
"273","MCQ240DD","Age when some other type of cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"274","MCQ240DD","Age when some other type of cancer was first diagnosed","17-77","17-77 years old","Questionnaire",NA
"275","MCQ240DD","Age when some other type of cancer was first diagnosed","17-78","17-78 years old","Questionnaire",NA
"276","MCQ240DD","Age when some other type of cancer was first diagnosed","17-83","17-83 years old","Questionnaire",NA
"277","MCQ240DD","Age when some other type of cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"278","MCQ240DD","Age when some other type of cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"279","MCQ240DD","Age when some other type of cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"280","MCQ240DD","Age when some other type of cancer was first diagnosed","77777","Refused","Questionnaire",NA
"281","MCQ240DK","Age when cancer was first diagnosed","20-80","20-80 years old","Questionnaire",NA
"282","MCQ240DK","Age when cancer was first diagnosed","23-47","23-47 years old","Questionnaire",NA
"283","MCQ240DK","Age when cancer was first diagnosed","80","80 years or older","Questionnaire",NA
"284","MCQ240DK","Age when cancer was first diagnosed","85","85 years or older","Questionnaire",NA
"285","MCQ240DK","Age when cancer was first diagnosed","99999","Don't know","Questionnaire",NA
"286","MCQ240DK","Age when cancer was first diagnosed","77777","Refused","Questionnaire",NA
"287","MCQ240E","Age when breast cancer was first diagnosed","16","16 years or younger","Questionnaire",NA
"288","MCQ240E","Age when breast cancer was first diagnosed","17-78","17-78 years old","Questionnaire",NA
"289","MCQ240E","Age when breast cancer was first diagnosed","17-79","17-79 years old","Questionnaire",NA
"290","MCQ240E","Age when breast cancer was first diagnosed","17-84","17-84 years old","Questionnaire",NA
